kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_2.ptx 162 : 1024 5554 1376 0 0 1024 1024 0 0 
_2.ptx 165 : 8388608 71946336 0 0 0 0 0 0 0 
_2.ptx 166 : 8388608 94248192 0 0 0 0 0 0 0 
_2.ptx 167 : 8388608 72503328 0 0 0 0 0 0 0 
_2.ptx 169 : 8388608 71934944 0 0 0 0 0 0 0 
_2.ptx 170 : 8388608 71503328 0 0 0 0 0 0 0 
_2.ptx 172 : 8388608 26543488 0 0 0 0 0 0 0 
_2.ptx 173 : 8388608 72014496 0 0 0 0 0 0 0 
_2.ptx 174 : 8388608 65644224 0 0 0 0 0 0 0 
_2.ptx 175 : 8388608 99866432 0 0 0 0 0 0 0 
_2.ptx 176 : 8388608 26558304 0 0 0 0 0 0 0 
_2.ptx 177 : 8388608 73320768 0 0 0 0 0 0 0 
_2.ptx 178 : 8388608 67136992 0 0 0 0 0 0 0 
_2.ptx 179 : 8388608 101481408 0 0 0 0 0 0 0 
_2.ptx 180 : 8388608 103547840 0 0 0 0 0 0 0 
_2.ptx 181 : 8388608 102025792 0 0 0 0 0 0 0 
_2.ptx 182 : 8388608 75261824 0 0 0 0 0 0 0 
_2.ptx 183 : 8388608 98893216 0 0 0 0 0 0 0 
_2.ptx 184 : 8388608 102611264 0 0 0 0 0 0 0 
_2.ptx 185 : 8388608 950523872 1125632 0 0 524288 262144 0 0 
_2.ptx 186 : 8388608 65427168 0 0 0 0 0 0 0 
_2.ptx 187 : 8388608 65894784 0 0 0 0 0 0 0 
_2.ptx 188 : 8388608 73297728 0 0 0 0 0 0 0 
_2.ptx 189 : 8388608 66410112 0 0 0 0 0 0 0 
_2.ptx 190 : 8388608 73165504 0 0 0 0 0 0 0 
_2.ptx 191 : 8388608 97082240 0 0 0 0 0 0 0 
_2.ptx 192 : 8388608 101646528 0 0 0 0 0 0 0 
_2.ptx 193 : 8388608 97243872 0 0 0 0 0 0 0 
_2.ptx 194 : 8388608 101285184 0 0 0 0 0 0 0 
_2.ptx 195 : 8388608 54331040 0 524288 262144 0 0 0 0 
_2.ptx 197 : 8388608 29618912 0 0 0 0 0 0 0 
_2.ptx 198 : 8388608 62981856 0 0 0 0 0 0 0 
_2.ptx 199 : 8388608 70902752 0 0 0 0 0 0 0 
_2.ptx 200 : 8388608 99196928 0 0 0 0 0 0 0 
_2.ptx 201 : 8388608 28127968 0 0 0 0 0 0 0 
_2.ptx 202 : 8388608 73602624 0 0 0 0 0 0 0 
_2.ptx 203 : 8388608 66655712 0 0 0 0 0 0 0 
_2.ptx 204 : 8388608 101085536 0 0 0 0 0 0 0 
_2.ptx 205 : 8388608 102811232 0 0 0 0 0 0 0 
_2.ptx 206 : 8388608 101573568 0 0 0 0 0 0 0 
_2.ptx 207 : 8388608 74623968 0 0 0 0 0 0 0 
_2.ptx 208 : 8388608 98056384 0 0 0 0 0 0 0 
_2.ptx 209 : 8388608 102090624 0 0 0 0 0 0 0 
_2.ptx 210 : 8388608 1898623296 33907968 0 0 524288 262144 0 0 
_2.ptx 211 : 8388608 65283712 0 0 0 0 0 0 0 
_2.ptx 212 : 8388608 65644832 0 0 0 0 0 0 0 
_2.ptx 213 : 8388608 73355872 0 0 0 0 0 0 0 
_2.ptx 214 : 8388608 66593632 0 0 0 0 0 0 0 
